,id,text
6,1.2503402164741857e+18,@TimesNow Strangely no one feels that the workers will need transport? So why lock down @ola_supports and @Uber ... Won't people need to go back home from IT offices?
50,1.250341254287655e+18,@Uber_India Actually I am also in need of help my registered mobile number is 9791566192
57,1.2503413915462124e+18,"RT @exarmyofficer1: Just an average,  everyday @Uber / @lyft experience.
The Bangles - Going Down to Liverpool https://t.co/R46TAGCqRW via…"
82,1.2503419528154235e+18,RT @UberEats: Get $0 Delivery Fee in support of local restaurants. We can work together to support our community. We’re automatically waivi…
93,1.2503421338121912e+18,@Uber_Support can ya'll reply to the email please?
100,1.2503422500195738e+18,RT @zafaf: Please help @Uber drivers @dkhos @dougducey https://t.co/XAlnW0qYmS
103,1.2503423101575127e+18,"@Uber_Support I sent dm, but I'm not expecting anything.  This is just a ""for your information"" tweet."
105,1.2503423344173957e+18,RT @UberFacts: The Full Names of Fictional Characters We’re Pretty Sure You Didn’t Know https://t.co/Tj2nRFhlks
139,1.2503430568610652e+18,@LocalBaggiesFan @LHatfield_Star @JosephMasi_Star @AlbionPoddy @WBAKizz @leowatkins @Calum_Haywood @TomCannon93 @uber_foods Let go of a few of those Ajayi's and you can get a Matty Pereira.
141,1.2503430930578842e+18,@Uber_India Sir Delhi Also Need Of Uber Essential Please Sir
144,1.250343172066046e+18,"Uber launches Uber Essential in select Indian cities to facilitate travel for medical purposes! Source : https://t.co/NM2p8AjbDL 
#Uber #CoronavirusPandemic #COVID19 #CoronavirusLockdown #coronavirus #coronavirusindia"
148,1.250343219486847e+18,"@somitsenTOI @Uber_India @Uber_Mumbai @MahindraRise @nnatuTOI @ANILGALGALIRTI @suheil_merchant @mumbaimatterz Thanks Somit for the coverage

Really means a lot"
197,1.2503443870007132e+18,@Uber  and @lyft should be dismantled. They don’t deserve to exist. A controversial change has been made to the #Uber Driver Sick Pay Policy! https://t.co/KCUThTHJYK via @YouTube
