,id,text
46,1.2486269261906043e+18,@Uber_Support 7032970066
27966,1.2486485884413993e+18,@UberFacts Why mothers need to make a point to eat healthier and more nutritious foods instead of snack foods and s… https://t.co/NrBlCscOMs
28936,1.2486737384864195e+18,"#torontodelivery #ubereats @ Toronto, Ontario https://t.co/tBbWnq3OzE"
1647,1.248674391111553e+18,"@UberFacts I'm most likely not doing shit when I'm full, brother"
2649,1.248674626680623e+18,Traditions. Bless @UberEats. 🎣🍟 https://t.co/gBMKiF4jSB
9782,1.2486762650428088e+18,"WE ARE OPEN! 
All Your Favorite Dishes &amp; Drinks!
#FRIDAYS 12PM-2AM!
.
✅FIND US ON #UBEREATS &amp; #GRUBHUB OR CALL TO O… https://t.co/nLgVHlH8wk"
16427,1.248677799759659e+18,"#ubereats #torontodelivery @ Toronto, Ontario https://t.co/coHTv6715w"
17375,1.2486780138201661e+18,"Dear delivery drivers for @DoorDash, @UberEats, @Grubhub, etc., please make sure you have everything that was order… https://t.co/Kkk8TSWLZJ"
18088,1.248678178924761e+18,@ubermick That’s all of us really. I hope she is fairing well. You and Tracee too. ❤️
20168,1.2486786797539533e+18,@Uber_412 @Sm0keygruv @nxumalo__ @LORAFRIMANEE @13TMACC 😂😂😂😂
4492,1.248681921359614e+18,@Uber_Support @k_pendleton 813-770-2865
18335,1.2486850277366538e+18,@UberFacts Definition of a bad day: Earl
13358,1.2486907211979653e+18,@UberFacts I’m certain my sack had zero old sperm
24694,1.2486933931332076e+18,@UberMitch @drvox Especially the big ones: FL and TX.
24741,1.2486934042189169e+18,@UberFacts https://t.co/knxMtJtLud
28176,1.248694219423834e+18,"@UberCheIseaFC 8. No transfers, lost his best player, mediocre squad, gave youth a chance. Still 4th 🔥🔥🔥"
10712,1.2486971352493998e+18,@sck915 @UberEats They were good even after a drive to my place from the restaurant. Happy Good Friday and Easter lovely!!
11242,1.2486972517168292e+18,@UberFacts I Didn’t Know Men Had to do That
21505,1.2486995813757133e+18,@Uber_Support what part of this is not the same language ? https://t.co/dAYC4tV5lx
22546,1.2486998205518316e+18,@UberFacts @Dubt0wn has the Phelps of little guys... 🏊‍♂️ 🏊‍♂️🏊‍♂️
6459,1.248704702574809e+18,@TheSKDude @UberFacts 😂😂😂😂😂😂💀💀💀💀
19397,1.2487147862186107e+18,.@Uber has literally the worst customer support. This has been an ongoing issue for over 2 years. @Uber_Support… https://t.co/nynANSwWoQ
8122,1.2489263143518413e+18,@UberDanger I feel attacked
25581,1.2489571176687452e+18,@Uber - having a real hard time accessing my tax summaries - 2019s has apparently vanished from my portal and amids… https://t.co/ySrT6rRCLp
63,1.2489592716996936e+18,@Uber_Support Done!
11404,1.2489645206027428e+18,Viruses are a boon for private transportation. Car sales in Wuhan are up. I suspect car ownership and @Uber popular… https://t.co/urZi4aPe2r
15619,1.2489662874826424e+18,First time using @UberEats and had a bad experience regarding promos. Don’t be fooled with their #UberEatsPromoCode
1415,1.2489720921267036e+18,"@UberFacts I don't think I've had a grand total of 33 ""friends"" throughout my life (never mind 400 or anywhere clos… https://t.co/tcxXYoSjUl"
2168,1.2489723596478464e+18,🗣 DELIVERY DRIVERS PICKING UP FOOD AT RESTAURANTS NEED TO PRACTICE SOCIAL DISTANCING @UberEats @Grubhub @Seamless… https://t.co/757xiHLI4U
7833,1.2489743012792033e+18,"annoyed and frustrated. But as
 I got into the @uber the driver asks “are you a doctor?” As I responded yes, he wen… https://t.co/eiPk4IXU8f"
12073,1.248975763774333e+18,@UberFacts I still love it!
26555,1.2489804054343598e+18,@FuzzySoulTiger I've picked #driver @lyft @Uber several white passengers that have mentioned about receiving their… https://t.co/OPpB9JsF1V
27260,1.248989533607248e+18,.@Uber_Support why do your support people keep closing my conversation without replying? @UberEats @Uber_Canada… https://t.co/COoy1BTt11
2374,1.2489908236954214e+18,@UberFacts My 10th grade health teacher said that the word “fuck” is an acronym for “Fornication Under the Consent of the King.”
2976,1.2489909848868004e+18,My advice to anyone planning to attend church in Kentucky: take an @Uber to church... https://t.co/N9yLICBTsj
3277,1.2489910649057157e+18,My @Uber_Support experience this past month is just them telling me my various credits were in my account when they clearly weren’t 🙃
5799,1.248991717455528e+18,"Looking for a solid lunch choice? Check out @DestinationDogs, getting that #delivery to you through @UberEats!… https://t.co/YeF8ZuoMmi"
7166,1.2489920749611663e+18,@momma2bac @UberFacts You sho right !! I couldn’t do a pinky though :( it’s too playa lol
10592,1.2489930065413202e+18,"@UberFacts I always thought it was Patrick Henry in March of 1775 said that first. But upon review, he did not say it..., but he meant it"
16543,1.2489946259578348e+18,@MikeLillie @Cinnabon @UberEats I would jog to Scarborough for this.
26740,1.2489973781175132e+18,I don’t have an @Uber account...why am I being texted an Uber code? https://t.co/7Ei8XGOfoY
